age,backhand,birthplace,f_name,finals_career,ht,l_hand,l_name,loss_career,prize_career,rank_2020,rank_career,titles_career,win_career,wt,yr_pro
21,Two-Handed Backhand,,Shaheed,0,,Right-Handed,Alam,0,2346.0,1755,1743,0,0,,
17,,,Egor,0,,,Agafonov,0,892.0,1755,1609,0,0,,
25,,,Gianluca,0,,,Acquaroli,0,4172.0,1755,1486,0,0,,
27,Two-Handed Backhand,,Mate,0,,Right-Handed,Zsiga,0,2968.0,1665,1237,0,0,,
30,Unknown Backhand,Croatia,Deni,0,(185cm),Right-Handed,Zmak,0,7833.0,1665,961,0,0,(82kg),
32,Two-Handed Backhand,Ukraine,Anton,0,(180cm),Right-Handed,Zaitcev,0,72914.0,1665,296,0,0,(71kg),
37,Two-Handed Backhand,USA,Jesse,0,(178cm),Right-Handed,Witten,2,402100.0,1186,274,0,0,(82kg),2005
37,,,Chris,0,,,Wettengel,0,35050.0,1665,548,0,0,,
19,,,Jing Long,0,,,Weng,0,576.0,1665,1582,0,0,,
27,Two-Handed Backhand,,Arthur,0,,Left-Handed,Weber,0,3270.0,1665,1260,0,0,,
21,,,Marcus,0,,,Walters,0,2604.0,0,1579,0,0,,
23,,,Daniel,0,,,Vrba,0,1448.0,1665,1662,0,0,,
20,,,Francisco,0,,,Vittar,0,2848.0,1665,1480,0,0,,
18,,,Bautista,0,,,Vilicich,0,414.0,0,1662,0,0,,
17,,,Quinn,0,,,Vandecasteele,0,468.0,1665,1585,0,0,,
23,Two-Handed Backhand,,Eleftherios,0,,Right-Handed,Theodorou,0,2548.0,1355,1103,0,0,,
23,One-Handed Backhand,Poland,Mateusz,0,(191cm),Right-Handed,Terczynski,0,16037.0,1665,934,0,0,(83kg),
,,,Fausto,0,,,Tabacco,0,1170.0,1665,1336,0,0,,
18,,,Gustaf,0,,,Strom,0,1458.0,1755,1479,0,0,,
17,,,Dominic Stephan,0,,,Stricker,0,770.0,1665,1662,0,0,,
19,,,Daniil,0,,,Strelchenko,0,2048.0,1603,1224,0,0,,
33,Unknown Backhand,,Vincent,0,,Right-Handed,Stouff,0,22309.0,1665,1050,0,0,,
17,,,Filip,0,,,Stipic,0,414.0,1665,1600,0,0,,
22,,,Riley,0,,,Smith,0,8197.0,1049,645,0,0,,
19,,,Nikola,0,,,Slavic,0,942.0,1665,1662,0,0,,
15,,,Ethan Denzel,0,,,Sibanda,0,468.0,1665,1662,0,0,,
26,Two-Handed Backhand,Uzbekistan,Shonigmatjon,0,(203cm),Right-Handed,Shofayziyev,0,50532.0,1644,419,0,0,(85kg),
19,,,Kazuki,0,,,Shimizu,0,934.0,1709,1662,0,0,,
18,,,Emir,0,,,Sendogan,0,156.0,1665,1579,0,0,,
22,Two-Handed Backhand,Spain,Miguel,0,(180cm),Right-Handed,Semmler,0,57577.0,0,514,0,0,(64kg),
28,,,Rodrigo,0,,,Sanchez,0,24057.0,1665,633,0,0,,
20,,,Laelson,0,,,Rodrigues,0,366.0,1665,1662,0,0,,
23,,,Strahinja,0,,,Rakic,0,9229.0,1235,997,0,0,,
20,Unknown Backhand,,Karl,0,(185cm),Left-Handed,Poling,0,3962.0,1665,1464,0,0,(76kg),
24,Two-Handed Backhand,,Petar,0,,Right-Handed,Pjevcevic,0,1864.0,1665,1662,0,0,,
19,,,Moritz,0,,,Pfaff,0,828.0,1665,1662,0,0,,
20,Two-Handed Backhand,,Brandon,0,(191cm),Left-Handed,Perez,1,2774.0,1665,1662,0,0,(83kg),
17,,,Stijn,0,,,Pel,0,414.0,1665,1599,0,0,,
19,,,Carl Bret,0,,,Parko,0,660.0,1665,1604,0,0,,
21,,,Kosuke,0,,,Okagaki,0,1010.0,1665,1662,0,0,,
20,,,Noppadol,0,,,Noikor,0,796.0,1665,1579,0,0,,
22,,,Viktor,0,,,Nikitin,0,822.0,1665,1579,0,0,,
20,,,Vincentiu Andrei,0,,,Niculescu,0,2268.0,1460,1312,0,0,,
19,,,Brandon,0,,,Murphy,0,1662.0,1560,1448,0,0,,
16,,,Rodrigo Nicolas,0,,,Montes De Oca Murillo,0,662.0,1709,1662,0,0,,
17,,,Mario,0,,,Mansilla Diez,0,2231.0,1403,1393,0,0,,
23,,,Jonas,0,,,Maier,0,414.0,1665,1662,0,0,,
19,,,Enrique,0,,,Luque Rico,0,2510.0,1665,1339,0,0,,
18,,,Leonardo,0,,,Lopez Linquet,0,510.0,1665,1662,0,0,,
19,,,Daniel,0,,,Litvinov,0,516.0,1755,1579,0,0,,
29,Two-Handed Backhand,Bulgaria,Alexandar,0,(183cm),Left-Handed,Lazov,7,112161.0,1665,324,0,1,(69kg),
19,,,Mischa,0,,,Lanz,0,2884.0,1461,1461,0,0,,
18,,,Younes,0,,,Lalami Laaroussi,0,1206.0,1665,1662,0,0,,
21,,,Christian,0,,,Lakoseljac,0,3623.0,1665,1585,0,0,,
31,Two-Handed Backhand,,Alexis,0,,Right-Handed,Klegou,2,30751.0,1231,441,0,0,(86kg),
29,,,Shahin,0,,,Khaledan,8,19903.0,1665,792,0,5,,
23,,,Emmanuel,0,,,Idoko,0,2438.0,1665,1607,0,0,,
22,,,Tuur,0,,,Heuvinck,0,510.0,1665,1582,0,0,,
24,,,Mohamed,0,,,Hassan,0,5677.0,1665,1476,0,0,,
23,,,Tom,0,,,Hands,0,1982.0,931,925,0,0,,
18,,,Luis,0,,,Gomar Monio,0,2362.0,0,1240,0,0,,
18,Two-Handed Backhand,,Andrea,0,(183cm),Right-Handed,Gola,0,2152.0,1204,818,0,0,(70kg),
18,,,Julián,0,,,Gimenez,0,1870.0,1665,1603,0,0,,
17,Unknown Backhand,,Felix,0,,Left-Handed,Gill,0,835.0,1665,1662,0,0,,
24,Two-Handed Backhand,Argentina,Tomas,0,(170cm),Right-Handed,Gerini,0,8376.0,1665,1119,0,0,(71kg),
22,,,Sahil,0,,,Gaware,0,1176.0,1665,1662,0,0,,
