age,backhand,birthplace,f_name,finals_career,ht,l_hand,l_name,loss_career,prize_career,rank_2020,rank_career,titles_career,win_career,wt,yr_pro
18,,,Bautista,0,,,Vilicich,0,414.0,0,1662,0,0,,
17,,,Quinn,0,,,Vandecasteele,0,468.0,1662,1585,0,0,,
23,Two-Handed Backhand,,Eleftherios,0,,Right-Handed,Theodorou,0,2548.0,1662,1579,0,0,,
23,One-Handed Backhand,Poland,Mateusz,0,(191cm),Right-Handed,Terczynski,0,16037.0,1662,934,0,0,(83kg),
,,,Fausto,0,,,Tabacco,0,1170.0,1662,1336,0,0,,
18,,,Gustaf,0,,,Strom,0,1614.0,1811,1479,0,0,,
17,,,Dominic Stephan,0,,,Stricker,0,770.0,1580,1580,0,0,,
19,,,Daniil,0,,,Strelchenko,0,2048.0,1799,1591,0,0,,
33,Unknown Backhand,,Vincent,0,,Right-Handed,Stouff,0,22309.0,1662,1050,0,0,,
17,,,Filip,0,,,Stipic,0,414.0,1662,1600,0,0,,
22,,,Riley,0,,,Smith,0,8197.0,1662,1187,0,0,,
19,,,Nikola,0,,,Slavic,0,942.0,1662,1662,0,0,,
15,,,Ethan Denzel,0,,,Sibanda,0,468.0,1662,1662,0,0,,
26,Two-Handed Backhand,Uzbekistan,Shonigmatjon,0,(203cm),Right-Handed,Shofayziyev,0,50532.0,1662,748,0,0,(85kg),
19,,,Kazuki,0,,,Shimizu,0,1090.0,1709,1662,0,0,,
18,,,Emir,0,,,Sendogan,0,156.0,1662,1579,0,0,,
22,Two-Handed Backhand,Spain,Miguel,0,(180cm),Right-Handed,Semmler,0,57577.0,0,514,0,0,(64kg),
28,,,Rodrigo,0,,,Sanchez,0,24057.0,1662,633,0,0,,
20,,,Laelson,0,,,Rodrigues,0,366.0,1662,1662,0,0,,
23,,,Strahinja,0,,,Rakic,0,9229.0,1662,1297,0,0,,
20,Unknown Backhand,,Karl,0,(185cm),Left-Handed,Poling,0,3962.0,1662,1464,0,0,(76kg),
24,Two-Handed Backhand,,Petar,0,,Right-Handed,Pjevcevic,0,1864.0,1662,1662,0,0,,
19,,,Moritz,0,,,Pfaff,0,828.0,1662,1662,0,0,,
20,Two-Handed Backhand,,Brandon,0,(191cm),Left-Handed,Perez,1,2774.0,1662,1662,0,0,(83kg),
17,,,Stijn,0,,,Pel,0,414.0,1662,1599,0,0,,
19,,,Carl Bret,0,,,Parko,0,660.0,1662,1604,0,0,,
21,,,Kosuke,0,,,Okagaki,0,1010.0,1662,1662,0,0,,
20,,,Noppadol,0,,,Noikor,0,796.0,1662,1579,0,0,,
22,,,Viktor,0,,,Nikitin,0,822.0,1662,1579,0,0,,
20,,,Vincentiu Andrei,0,,,Niculescu,0,2268.0,0,1477,0,0,,
19,,,Brandon,0,,,Murphy,0,1662.0,1662,1662,0,0,,
17,,,Rodrigo Nicolas,0,,,Montes De Oca Murillo,0,752.0,1709,1662,0,0,,
17,,,Mario,0,,,Mansilla Diez,0,2231.0,1662,1442,0,0,,
23,,,Jonas,0,,,Maier,0,414.0,1662,1662,0,0,,
19,,,Enrique,0,,,Luque Rico,0,2510.0,1662,1339,0,0,,
18,,,Leonardo,0,,,Lopez Linquet,0,510.0,1662,1662,0,0,,
19,,,Daniel,0,,,Litvinov,0,516.0,1747,1579,0,0,,
29,Two-Handed Backhand,Bulgaria,Alexandar,0,(183cm),Left-Handed,Lazov,7,112161.0,1662,324,0,1,(69kg),
19,,,Mischa,0,,,Lanz,0,2884.0,1455,1455,0,0,,
18,,,Younes,0,,,Lalami Laaroussi,0,1206.0,1662,1662,0,0,,
21,,,Christian,0,,,Lakoseljac,0,3623.0,1662,1585,0,0,,
31,Two-Handed Backhand,,Alexis,0,,Right-Handed,Klegou,2,30751.0,1662,633,0,2,(86kg),
29,,,Shahin,0,,,Khaledan,8,19903.0,1662,792,0,5,,
23,,,Emmanuel,0,,,Idoko,0,2438.0,1662,1607,0,0,,
22,,,Tuur,0,,,Heuvinck,0,510.0,1662,1582,0,0,,
24,,,Mohamed,0,,,Hassan,0,5677.0,1662,1476,0,0,,
23,,,Tom,0,,,Hands,0,1982.0,1662,1662,0,0,,
18,,,Luis,0,,,Gomar Monio,0,2362.0,0,1240,0,0,,
18,Two-Handed Backhand,,Andrea,0,(183cm),Right-Handed,Gola,0,2152.0,1662,1600,0,0,(70kg),
18,,,Julián,0,,,Gimenez,0,1870.0,1662,1603,0,0,,
17,Unknown Backhand,,Felix,0,,Left-Handed,Gill,0,835.0,1662,1662,0,0,,
24,Two-Handed Backhand,Argentina,Tomas,0,(170cm),Right-Handed,Gerini,0,8376.0,1662,1119,0,0,(71kg),
22,,,Sahil,0,,,Gaware,0,1230.0,1662,1662,0,0,,
17,,,Axel,0,,,Garcian,0,1014.0,1662,1600,0,0,,
17,,,Raul,0,,,Garcia,0,1524.0,1662,1248,0,0,,
22,,,Lautaro Agustin,0,,,Falabella,0,2756.0,1662,1469,0,0,,
38,Unknown Backhand,Russia,Mikhail,0,(183cm),Right-Handed,Elgin,9,871448.0,1662,123,0,2,(78kg),1998
19,,,Dax,0,,,Donders,0,966.0,1662,1662,0,0,,
19,,,Nicolas,0,,,Demeroutis,0,630.0,1662,1600,0,0,,
31,,,Shendrit,0,,,Deari,1,11147.0,1662,1131,0,0,,
22,,,Constant,0,,,De La Bassetiere,0,6383.0,1662,1212,0,0,,
20,,,Kamen,0,,,Damov,0,468.0,1662,1609,0,0,,
18,,,Julian,0,,,Cundom,0,864.0,1712,1607,0,0,,
37,Unknown Backhand,Romania,Victor,0,(185cm),Right-Handed,Crivoi,37,627950.0,1662,75,0,16,(75kg),2003
17,,,Eliakim,0,,,Coulibaly,0,468.0,1662,1662,0,0,,
19,,,Clement,0,,,Chidekh,0,1080.0,1662,1600,0,0,,
18,Two-Handed Backhand,,Yash,0,(175cm),Right-Handed,Chaurasia,0,694.0,1662,1662,0,0,(70kg),
18,,,Raul Gerardo,0,,,Centeno Arteaga,0,1410.0,1662,1662,0,0,,
20,,,Leonardo,0,,,Catani,0,576.0,1662,1662,0,0,,
18,,,Jaime,0,,,Caldes,0,678.0,0,1455,0,0,,
19,,,Simone,0,,,Cacciapuoti,0,882.0,1662,1662,0,0,,
25,Two-Handed Backhand,,Samm,0,,Left-Handed,Butler,0,11839.0,0,815,0,0,,
18,,,Jacob,0,,,Bullard,0,1808.0,1662,1471,0,0,,
23,,,Toby D.,0,,,Boyer,0,1593.0,1662,1662,0,0,,
33,,,Adrien,0,,,Bossel,5,165745.0,1662,262,0,0,,
22,Two-Handed Backhand,,Jorge,0,(191cm),Right-Handed,Blanco Guadalupe,0,8465.0,1662,940,0,0,(89kg),
17,,,Aissa,0,,,Benchakroun,0,522.0,1662,1662,0,0,,
25,Unknown Backhand,France,Romain,0,(185cm),Left-Handed,Bauvy,0,25372.0,1662,882,0,0,(82kg),
19,,,Carles,0,,,Batlle,0,1302.0,1664,1662,0,0,,
25,,,Max,0,,,Andrews,0,1687.0,1662,1553,0,0,,
28,Two-Handed Backhand,,Francis Casey,0,(170cm),Right-Handed,Alcantara,4,32938.0,1662,758,0,6,(70kg),
18,,,Goran,0,,,Zivotic,0,258.0,1580,1579,0,0,,
,Unknown Backhand,,Zhao,0,,Right-Handed,Zhao,0,3910.0,1580,1579,0,0,,
20,,,Bang Shuo,0,,,Yin,0,2576.0,1580,1464,0,0,,
18,,,Olle,0,,,Wallin,0,258.0,1580,1579,0,0,,
17,,,Iiro,0,,,Vasa,0,312.0,1580,1579,0,0,,
18,Two-Handed Backhand,,Chrisjan,0,(0cm),Right-Handed,Van Wyk,0,312.0,1604,1579,0,0,(88kg),
21,,,Joe,0,,,Tyler,0,834.0,1580,1579,0,0,,
21,Two-Handed Backhand,Belarus,Maxim,0,,Right-Handed,Tybar,0,5786.0,1580,1036,0,0,,
20,,,Siim,0,,,Troost,0,2388.0,1580,1579,0,0,,
19,,,Shota,0,,,Tange,0,258.0,1580,1579,0,0,,
